127.0.0.1 - - [01/Apr/2024:14:57:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Apr/2024:14:57:34 +0530] "GET /spring-mvc-01/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/Apr/2024:14:58:02 +0530] "GET /spring-mvc-01/Register HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [01/Apr/2024:14:58:17 +0530] "POST /spring-mvc-01/Register HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [01/Apr/2024:14:59:19 +0530] "POST /spring-mvc-01/Register HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:00:17 +0530] "POST /spring-mvc-01/Register HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:00:19 +0530] "GET /spring-mvc-01/Register HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:01:28 +0530] "GET /spring-mvc-01/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:01:56 +0530] "GET /spring-mvc-01/Welcome HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:02:09 +0530] "GET /spring-mvc-01/Welcome HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:02:18 +0530] "GET /spring-mvc-01/Register HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [01/Apr/2024:15:02:56 +0530] "POST /spring-mvc-01/Register HTTP/1.1" 200 1184
